year,month,day,time,last_update,sunrise_time,sunset_time,temperature,humidity,pressure,weather
2019,3,28,24:41.0,13:16:27,6:12:21,18:34:54,18.49,59,1012,broken clouds
2019,3,28,24:41.9,13:16:27,6:12:21,18:34:54,18.49,59,1012,broken clouds
